date, pm25, pm10, o3, no2, so2, co
2021/3/1, 54, , , , , 
2021/2/1, 58, 46, 73, 13, 3, 6
2021/2/2, 82, 52, 43, 8, 3, 6
2021/2/3, 81, 48, 44, 10, 3, 5
2021/2/4, 71, 44, 35, 8, 3, 5
2021/2/5, 68, 42, 32, 15, 3, 6
2021/2/6, 72, 36, 45, 9, 3, 6
2021/2/7, 80, 39, 43, 6, 4, 6
2021/2/8, 80, 46, 43, 4, 4, 5
2021/2/9, 78, 16, 29, 5, 4, 5
2021/2/10, 29, 11, 22, 7, 4, 6
2021/2/11, 37, 19, 28, 9, 4, 6
2021/2/12, 60, 24, 27, 9, 4, 5
2021/2/13, 66, 22, 41, 6, 4, 5
2021/2/14, 61, 31, 41, 9, 4, 5
2021/2/15, 80, 33, 41, 7, 4, 5
2021/2/16, 72, 28, 33, 7, 5, 6
2021/2/17, 65, 44, 40, 7, 5, 6
2021/2/18, 84, 43, 40, 8, 5, 5
2021/2/19, 73, 36, 53, 8, 4, 5
2021/2/20, 70, 36, 52, 7, 5, 6
2021/2/21, 81, 32, 43, 7, 4, 5
2021/2/22, 77, 36, 40, 10, 4, 5
2021/2/23, 73, 38, 38, 5, 4, 5
2021/2/24, 65, 30, 34, 6, 4, 5
2021/2/25, 59, 30, 19, 14, 3, 5
2021/2/26, 60, 40, 5, 12, 3, 7
2021/2/27, 79, 33, 38, 7, 3, 5
2021/2/28, 59, 30, 33, 11, 2, 5
2021/1/4, 96, 73, 27, 40, 3, 6
2021/1/5, 139, 55, 35, 21, 1, 5
2021/1/6, 107, 68, 24, 20, 1, 7
2021/1/7, 131, 56, 15, 16, 1, 5
2021/1/8, 96, 53, 16, 20, 2, 3
2021/1/9, 71, 51, 16, 21, 2, 4
2021/1/10, 77, 56, 14, 20, 1, 4
2021/1/11, 79, 60, 18, 16, 1, 4
2021/1/12, 99, 60, 30, 15, , 4
2021/1/13, 99, 60, 36, 19, 1, 5
2021/1/14, 109, 44, 42, 15, 1, 5
2021/1/15, 82, 49, 38, 12, 1, 4
2021/1/16, 83, 87, 44, 8, 2, 6
2021/1/17, 135, 78, 29, 12, 3, 5
2021/1/18, 118, 59, 36, 12, 2, 5
2021/1/19, 99, 53, 29, 13, 2, 4
2021/1/20, 76, 61, 27, 16, 2, 5
2021/1/21, 107, 80, 22, 15, 2, 6
2021/1/22, 126, 57, 64, 12, 3, 5
2021/1/23, 117, 42, 42, 7, 3, 5
2021/1/24, 96, 41, 46, 6, 3, 5
2021/1/25, 79, 50, 34, 12, 3, 6
2021/1/26, 103, 50, 42, 9, 3, 6
2021/1/27, 106, 56, 40, 14, 3, 8
2021/1/28, 113, 43, 47, 13, 3, 7
2021/1/29, 68, 62, 41, 11, 3, 5
2021/1/30, 86, 36, 39, 10, 3, 5
2021/1/31, 55, 34, 33, 11, 3, 5
2020/10/1, 47, 29, 50, 6, 3, 5
2020/10/2, 57, 26, 47, 6, 3, 6
2020/10/3, 57, 28, 55, 8, 3, 6
2020/10/4, 65, 24, 45, 9, 3, 7
2020/10/5, 60, 38, 50, 13, 1, 6
2020/10/6, 71, 33, 37, 12, 1, 6
2020/10/7, 65, 39, 49, 12, 1, 6
2020/10/8, 71, 46, 67, 16, 1, 7
2020/10/9, 84, 53, 96, 18, 1, 7
2020/10/10, 94, 45, 98, 12, 1, 6
2020/10/11, 83, 48, 87, 14, 1, 6
2020/10/12, 80, 21, 34, 7, 1, 4
2020/10/13, 47, 32, 43, 6, 1, 4
2020/10/14, 59, 34, 53, 7, 1, 4
2020/10/15, 59, 42, 62, 13, 1, 4
2020/10/16, 74, 39, 53, 12, 1, 4
2020/10/17, 77, 40, 69, 12, 1, 5
2020/10/18, 74, 39, 52, 13, 1, 5
2020/10/19, 74, 44, 63, 14, 1, 5
2020/10/20, 81, 42, 55, 14, 2, 5
2020/10/21, 79, 43, 51, 13, 2, 6
2020/10/22, 79, 53, 45, 13, 2, 4
2020/10/23, 78, 61, 62, 18, 2, 4
2020/10/24, 82, 52, 55, 11, 1, 4
2020/10/25, 77, 44, 69, 11, , 4
2020/10/26, 67, 40, 64, 11, 1, 4
2020/10/27, 61, 31, 35, 17, 1, 6
2020/10/28, 60, 37, 39, 15, 1, 8
2020/10/29, 91, 47, 55, 16, 1, 11
2020/10/30, 106, 47, 52, 11, 1, 10
2020/10/31, 80, 42, 81, 13, 1, 12
2020/11/1, 76, 61, 73, 21, 2, 12
2020/11/2, 123, 47, 55, 18, 2, 11
2020/11/3, 91, 52, 68, 14, 2, 6
2020/11/4, 100, 43, 45, 13, 2, 3
2020/11/5, 63, 62, 95, 24, 2, 4
2020/11/6, 110, 65, 81, 25, 2, 5
2020/11/7, 117, 66, 87, 17, 2, 4
2020/11/8, 121, 70, 80, 18, 2, 3
2020/11/9, 104, 70, 58, 21, 2, 3
2020/11/10, 103, 59, 59, 19, 2, 2
2020/11/11, 83, 52, 60, 19, 1, 2
2020/11/12, 75, 50, 55, 23, 2, 2
2020/11/13, 81, 52, 37, 22, 1, 2
2020/11/14, 84, 41, 37, 17, 1, 2
2020/11/15, 85, 39, 46, 15, 1, 2
2020/11/16, 81, 28, 37, 11, 1, 1
2020/11/17, 48, 26, 29, 12, 1, 2
2020/11/18, 50, 19, 26, 12, 1, 2
2020/11/19, 45, 23, 26, 12, 1, 2
2020/11/20, 57, 25, 43, 9, 1, 5
2020/11/21, 60, 22, 42, 11, 2, 4
2020/11/22, 57, 38, 33, 15, 2, 5
