date, pm25, pm10, o3, no2, so2, co
2021/3/1, 46, , , , , 
2021/2/1, 37, 42, 72, 18, 3, 4
2021/2/2, 58, 58, 42, 11, 3, 4
2021/2/3, 59, 52, 36, 17, 3, 4
2021/2/4, 46, 42, 33, 11, 3, 4
2021/2/5, 41, 36, 31, 18, 3, 4
2021/2/6, 63, 39, 39, 14, 3, 4
2021/2/7, 78, 42, 40, 12, 3, 5
2021/2/8, 80, 54, 43, 11, 3, 4
2021/2/9, 70, 17, 30, 5, 3, 5
2021/2/10, 20, 11, 29, 5, 3, 5
2021/2/11, 34, 22, 36, 5, 3, 4
2021/2/12, 42, 27, 31, 8, 3, 4
2021/2/13, 63, 21, 41, 4, 3, 4
2021/2/14, 55, 31, 45, 8, 3, 5
2021/2/15, 92, 31, 41, 5, 3, 5
2021/2/16, 55, 33, 39, 5, 3, 5
2021/2/17, 54, 44, 42, 8, 3, 5
2021/2/18, 69, 45, 44, 9, 3, 5
2021/2/19, 61, 39, 52, 9, 3, 5
2021/2/20, 62, 37, 50, 7, 3, 6
2021/2/21, 75, 30, 42, 7, 2, 6
2021/2/22, 73, 36, 42, 11, 2, 6
2021/2/23, 70, 42, 39, 9, 2, 5
2021/2/24, 55, 31, 32, 10, 3, 6
2021/2/25, 47, 26, 17, 11, 3, 6
2021/2/26, 50, , , , , 
2021/1/4, 100, 74, 38, 40, 4, 8
2021/1/5, 143, 55, 34, 20, 3, 7
2021/1/6, 115, 67, 26, 17, 3, 9
2021/1/7, 134, 60, 19, 12, 3, 5
2021/1/8, 93, 51, 20, 15, 4, 4
2021/1/9, 68, 52, 22, 18, 4, 6
2021/1/10, 76, 58, 18, 15, 4, 6
2021/1/11, 75, 62, 25, 21, 5, 6
2021/1/12, 76, 65, 36, 31, 5, 5
2021/1/13, 69, 65, 41, 38, 4, 4
2021/1/14, 135, 53, 31, 38, 3, 4
2021/1/15, 98, 51, 34, 34, 3, 3
2021/1/16, 89, 82, 50, 14, 3, 4
2021/1/17, 98, 82, 38, 21, 4, 3
2021/1/19, 87, 53, 28, 24, 3, 2
2021/1/20, 89, 63, 39, 38, 3, 4
2021/1/21, 106, 50, 19, 32, 3, 5
2021/1/22, 111, 43, 72, 21, 3, 4
2021/1/23, 113, 43, 39, 13, 2, 4
2021/1/24, 87, 42, 41, 14, 2, 4
2021/1/25, 69, 39, 41, 20, 2, 4
2021/1/26, 92, 51, 94, 22, 3, 5
2021/1/27, 95, 47, 47, 16, 2, 6
2021/1/28, 104, 45, 49, 14, 3, 5
2021/1/29, 46, 63, 42, 15, 3, 3
2021/1/30, 59, 39, 37, 12, 3, 2
2021/1/31, 32, 34, 29, 16, 3, 3
2020/10/1, 49, 32, 56, 3, 2, 4
2020/10/2, 63, 31, 45, 7, 2, 5
2020/10/3, 57, 30, 58, 5, 2, 5
2020/10/4, 73, 38, 36, 11, 2, 5
2020/10/5, 63, 37, 52, 13, 2, 7
2020/10/6, 69, 33, 38, 11, 2, 6
2020/10/7, 65, 38, 54, 11, 2, 7
2020/10/8, 69, 50, 76, 15, 2, 7
2020/10/9, 87, 57, 113, 17, 2, 7
2020/10/10, 98, 51, 109, 11, 2, 6
2020/10/11, 88, 47, 95, 13, 2, 6
2020/10/12, 79, 21, 34, 2, 2, 5
2020/10/13, 45, 40, 43, 6, 2, 5
2020/10/14, 65, 60, 50, 11, 2, 5
2020/10/15, 66, 55, 65, 13, 2, 4
2020/10/16, 80, 44, 57, 12, 2, 4
2020/10/17, 77, 40, 78, 11, 2, 5
2020/10/18, 75, 44, 58, 11, 2, 5
2020/10/19, 73, 45, 67, 14, 2, 6
2020/10/20, 87, 53, 59, 12, 2, 6
2020/10/21, 83, 53, 54, 11, 2, 6
2020/10/22, 85, 59, 52, 9, 2, 4
2020/10/23, 79, 63, 64, 15, 2, 5
2020/10/24, 97, 61, 59, 8, 2, 5
2020/10/25, 86, 48, 60, 9, 2, 4
2020/10/26, 72, 46, 66, 11, 2, 5
2020/10/27, 64, 35, 34, 16, 2, 5
2020/10/28, 67, 38, 40, 14, 2, 6
2020/10/29, 86, 47, 54, 13, 2, 7
2020/10/30, 103, 56, 52, 13, 2, 5
2020/10/31, 82, 48, 85, 10, 2, 6
2020/11/1, 79, 57, 80, 16, 2, 7
2020/11/2, 114, 48, 67, 14, 2, 8
2020/11/3, 96, 58, 58, 15, 2, 7
2020/11/4, 104, 48, 44, 14, 2, 3
2020/11/5, 68, 59, 108, 21, 2, 5
2020/11/6, 110, 70, 92, 21, 3, 6
2020/11/7, 126, 64, 93, 14, 3, 6
2020/11/8, 122, 71, 83, 16, 3, 6
2020/11/9, 110, 68, 59, 18, 3, 5
2020/11/10, 105, 56, 70, 15, 3, 3
2020/11/11, 83, 53, 71, 15, 3, 2
2020/11/12, 80, 58, 56, 23, 3, 3
2020/11/13, 88, 48, 38, 20, 3, 4
2020/11/14, 85, 42, 37, 16, 2, 4
2020/11/15, 85, 42, 37, 20, 2, 4
2020/11/16, 83, 33, 30, 12, 2, 3
2020/11/17, 56, 35, 24, 16, 2, 3
2020/11/18, 55, 19, 20, 14, 2, 3
2020/11/19, 46, 22, 23, 13, 2, 3
2020/11/20, 53, 29, 35, 13, 2, 5
2020/11/21, 58, 24, 38, 10, 2, 5
2020/11/22, 56, 39, 28, 17, 2, 6
2020/11/23, 70, 56, 43, 21, 3, 6
2020/11/24, 97, 46, 46, 14, 3, 6
2020/11/25, 86, 46, 65, 17, 3, 6
2020/11/26, 91, 48, 64, 17, 3, 8
2020/11/27, 79, 45, 55, 14, 3, 7
2020/11/28, 78, 43, 51, 12, 3, 8
2020/11/29, 69, 51, 50, 15, 3, 8
2020/11/30, 82, 51, 45, 18, 3, 7
2020/12/1, 92, 53, 49, 19, 2, 5
2020/12/2, 97, 55, 30, 12, 2, 5
2020/12/3, 93, 49, 34, 12, 2, 5
2020/12/4, 89, 57, 38, 19, 2, 6
2020/12/5, 118, 62, 60, 19, 3, 7
2020/12/6, 144, 69, 41, 32, 3, 8
2020/12/7, 143, 63, 41, 23, 3, 7
2020/12/8, 131, 62, 31, 25, 3, 8
2020/12/9, 132, 71, 25, 37, 2, 8
2020/12/10, 136, 46, 29, 26, 1, 5
2020/12/11, 87, 56, 29, 27, 2, 6
2020/12/12, 121, 43, 38, 14, 2, 5
2020/12/13, 73, 47, 24, 21, 2, 8
2020/12/14, 85, 39, 10, 17, 2, 7
2020/12/15, 62, 45, 14, 18, 2, 6
2020/12/16, 83, 47, 6, 19, 2, 6
2020/12/17, 96, 51, 14, 20, 3, 6
2020/12/18, 93, 56, 18, 18, 3, 6
2020/12/19, 99, 60, 44, 14, 3, 6
2020/12/20, 121, 68, 49, 17, 3, 7
2020/12/21, 150, 65, 30, 27, 3, 7
2020/12/22, 150, 66, 17, 39, 3, 8
2020/12/23, 136, 48, 21, 26, 3, 7
2020/12/24, 100, 57, 49, 22, 3, 7
2020/12/25, 117, 47, 38, 16, 3, 5
2020/12/26, 73, 51, 71, 30, 3, 6
2020/12/27, 101, 45, 35, 25, 3, 5
2020/12/28, 83, 44, 33, 16, 3, 4
2020/12/29, 91, 75, 41, 11, 3, 7
