date, pm25, pm10, o3, no2, so2, co
2021/3/1, 55, , , , , 
2021/2/1, 54, 60, 46, 22, 2, 6
2021/2/2, 84, 61, 27, 13, 2, 6
2021/2/3, 80, 60, 26, 14, 2, 5
2021/2/4, 68, 64, 21, 12, 2, 4
2021/2/5, 63, 58, 20, 25, 2, 6
2021/2/6, 82, 54, 26, 16, 2, 6
2021/2/7, 83, 53, 21, 13, 2, 6
2021/2/8, 80, 57, 21, 12, 2, 5
2021/2/9, 76, 28, 14, 10, 2, 5
2021/2/10, 36, 26, 16, 9, 2, 6
2021/2/11, 31, 34, 19, 11, 2, 5
2021/2/12, 59, 39, 17, 13, 2, 5
2021/2/13, 68, 39, 25, 13, 2, 5
2021/2/14, 61, 47, 23, 12, 2, 6
2021/2/15, 82, 49, 23, 11, 2, 5
2021/2/16, 72, 41, 22, 10, 2, 6
2021/2/17, 61, 55, 22, 9, 2, 6
2021/2/18, 85, 58, 28, 11, 2, 5
2021/2/19, 75, 55, 36, 15, 2, 6
2021/2/20, 79, 55, 35, 13, 2, 7
2021/2/21, 89, 54, 32, 15, 2, 6
2021/2/22, 93, 54, 25, 15, 2, 6
2021/2/23, 82, 51, 24, 10, 2, 5
2021/2/24, 65, 47, 22, 11, 2, 5
2021/2/25, 60, 43, 13, 19, 2, 7
2021/2/26, 58, 47, 4, 12, 2, 8
2021/2/27, 72, 53, 3, 13, 2, 8
2021/2/28, 65, 37, 25, 11, 2, 6
2021/1/4, 99, 80, 22, 37, 3, 7
2021/1/5, 136, 63, 16, 18, 2, 5
2021/1/6, 105, 72, 17, 16, 2, 7
2021/1/7, 128, 59, 9, 12, 2, 5
2021/1/8, 95, 56, 9, 15, 2, 4
2021/1/9, 63, 58, 8, 17, 3, 5
2021/1/10, 76, 58, 7, 15, 2, 5
2021/1/11, 79, 84, 11, 21, 3, 6
2021/1/12, 92, 74, 11, 33, 3, 7
2021/1/13, 104, 78, 15, 40, 3, 8
2021/1/14, 121, 68, 10, 44, 2, 9
