time,station,uid,aqi,co,h,no2,p,pm10,pm25,so2,t,w,dew,uvi,o3
3/1/2021 18:00,"Qiánshān, Zhuhai (珠海前山)",786,61,4.6,83,27.5,1015,45,61,2.1,22,1,19,,
3/1/2021 18:00,"Calçada do Poço, Macau (水坑尾區 (水井斜巷))",5372,72,10.4,83,36.3,1015,37,72,,22,1,19,-1,
3/1/2021 18:00,"Subestação Macau Norte, Macau (北區 (澳北電站))",5374,76,11.5,83,42.8,1015,53,76,3.6,22,1,19,-1,6.4
3/1/2021 18:00,"Coloane, Macau (路環一般性)",9052,68,6.5,83,16.5,1015,37,68,3.2,22,1,19,-1,35.8
3/1/2021 18:00,"Ká-Hó, Macau (九澳區)",9888,55,8.3,83,20,1015,30,55,3.7,22,1,19,-1,35.2
3/1/2021 18:00,"Taipa Grande, Macau (氹仔大潭山 (氣象局總站))",5373,76,6.6,83,12.7,1015,29,76,1.9,22,1,19,-1,42.1
3/1/2021 18:00,"Parque Central da Taipa, Macau (氹仔區 (氹仔中央公園站))",5375,65,9.3,83,22.6,1015,57,65,2.3,22,1,19,-1,23.4
3/1/2021 18:00,Zhuhai (珠海),1540,80,7.3,88,27.5,1015,45,80,3.1,22,1.5,,,
3/1/2021 18:00,"Jídà, Zhuhai (珠海吉大)",785,65,4.6,83,15.1,1015,30,65,3.1,22,1,19,,
3/1/2021 19:00,"Calçada do Poço, Macau (水坑尾區 (水井斜巷))",5372,72,11.8,85.5,35.3,1015,44,72,,21.5,1,19,-1,
3/1/2021 18:00,"Subestação Macau Norte, Macau (北區 (澳北電站))",5374,76,11.6,85.5,35.2,1015,53,76,3.5,21.5,1,19,-1,9.1
3/1/2021 19:00,"Parque Central da Taipa, Macau (氹仔區 (氹仔中央公園站))",5375,72,9.1,85.5,28.4,1015,53,72,2.3,21.5,1,19,-1,19.8
3/1/2021 19:00,"Coloane, Macau (路環一般性)",9052,68,6.6,85.5,12.7,1015,29,68,3.4,21.5,1,19,-1,30.3
3/1/2021 19:00,"Ká-Hó, Macau (九澳區)",9888,54,8.3,85.5,9.4,1015,32,54,3.7,21.5,1,19,-1,36.3
3/1/2021 19:00,Zhuhai (珠海),1540,109,8.2,83,32.5,1015,54,109,3.1,22,1.5,,,
3/1/2021 19:00,"Taipa Grande, Macau (氹仔大潭山 (氣象局總站))",5373,78,7.1,85.5,15.8,1015,32,78,1.7,21.5,1,19,-1,35.6
3/1/2021 19:00,"Jídà, Zhuhai (珠海吉大)",785,72,5.5,83,12.4,1015,30,72,3.1,22,0.5,19,,
3/1/2021 19:00,"Qiánshān, Zhuhai (珠海前山)",786,68,4.6,83,32.5,1015,54,68,1.1,22,0.5,19,,
3/1/2021 19:00,"Taipa Grande, Macau (氹仔大潭山 (氣象局總站))",5373,78,7.1,85.5,15.8,1015,32,78,1.7,21.5,1,19,35.6,-1
3/1/2021 19:00,"Coloane, Macau (路環一般性)",9052,68,6.6,85.5,12.7,1015,29,68,3.4,21.5,1,19,30.3,-1
3/1/2021 19:00,Zhuhai (珠海),1540,109,8.2,83,32.5,1015,54,109,3.1,22,1.5,,,
3/1/2021 19:00,"Jídà, Zhuhai (珠海吉大)",785,72,5.5,83,12.4,1015,30,72,3.1,22,0.5,19,,
3/1/2021 19:00,"Subestação Macau Norte, Macau (北區 (澳北電站))",5374,72,11.6,85.5,35.2,1015,53,72,3.5,21.5,1,19,9.1,-1
3/1/2021 19:00,"Parque Central da Taipa, Macau (氹仔區 (氹仔中央公園站))",5375,72,9.1,85.5,28.4,1015,53,72,2.3,21.5,1,19,19.8,-1
