station_uid,lon,lat,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,country,rain,temp_max,temp_min,weather,weather_desc,grnd_level,sea_level
9888,113.5817,22.1321,1614666409,1614638776,1614680988,294.52,289.78,1018,60,,,{'all': 0},10000,8.23,360,MO,,295.15,294.15,Clear,clear sky,,
785,113.574,22.2611,1614666410,1614638783,1614680985,295.01,290.43,1018,60,,,{'all': 0},10000,8.23,360,CN,,295.93,294.15,Clear,clear sky,,
9052,113.5544,22.1253,1614666410,1614638783,1614680994,294.15,289.3,1018,60,,,{'all': 0},10000,8.23,360,MO,,294.15,294.15,Clear,clear sky,,
1540,113.5767,22.2707,1614666410,1614638782,1614680984,295.01,290.43,1018,60,,,{'all': 0},10000,8.23,360,CN,,295.93,294.15,Clear,clear sky,,
5373,113.565,22.16,1614666410,1614638781,1614680991,294.53,289.8,1018,60,,,{'all': 0},10000,8.23,360,MO,,295.15,294.15,Clear,clear sky,,
786,113.495,22.2294,1614666410,1614638801,1614681005,294.95,290.35,1018,60,,,{'all': 0},10000,8.23,360,MO,,295.93,294.15,Clear,clear sky,,
5372,113.5447,22.1958,1614666410,1614638787,1614680994,294.15,289.3,1018,60,,,{'all': 0},10000,8.23,360,MO,,294.15,294.15,Clear,clear sky,,
5374,113.5428,22.2139,1614666410,1614638789,1614680994,294.57,289.85,1018,60,,,{'all': 0},10000,8.23,360,MO,,295.15,294.15,Clear,clear sky,,
5375,113.5546,22.1581,1614666410,1614638784,1614680993,294.15,289.3,1018,60,,,{'all': 0},10000,8.23,360,MO,,294.15,294.15,Clear,clear sky,,
0,104.9073,19.2585,1614666434,1614640761,1614683166,289.61,290.33,1017,92,,,{'all': 98},10000,1.36,129,VN,,289.61,289.61,Clouds,overcast clouds,935,1017
0,108.3735,19.2585,1614666435,1614639929,1614682334,292.51,288.01,1017,90,,,{'all': 94},10000,10.23,28,CN,,292.51,292.51,Clouds,overcast clouds,1017,1017
0,111.8398,19.2585,1614666436,1614639098,1614681502,294.9,291.66,1017,87,,,{'all': 53},10000,9.56,41,CN,,294.9,294.9,Clouds,broken clouds,1017,1017
0,115.306,19.2585,1614666438,1614638267,1614680670,297.51,296.08,1016,83,,,{'all': 21},10000,8.22,33,,,297.51,297.51,Clouds,few clouds,1016,1016
0,118.7723,19.2585,1614666516,1614637435,1614679838,298.28,296.04,1014,79,,,{'all': 23},10000,9.34,26,,,298.28,298.28,Clouds,few clouds,1014,1014
0,104.9073,21.6601,1614666517,1614640841,1614683086,293.53,292.45,1018,52,,,{'all': 96},10000,1.68,88,VN,,293.53,293.53,Clouds,overcast clouds,1012,1018
0,108.3735,21.6601,1614666656,1614640010,1614682254,295.3,290.72,1017,46,,,{'all': 23},10000,6.6,23,CN,,295.3,295.3,Clouds,few clouds,1016,1017
0,111.8398,21.6601,1614666519,1614639178,1614681422,295.92,294.16,1018,58,,,{'all': 11},10000,4.36,41,CN,,295.92,295.92,Clouds,few clouds,1018,1018
0,115.306,21.6601,1614666520,1614638347,1614680590,293.65,288.72,1018,78,,,{'all': 6},10000,10.18,49,CN,,293.65,293.65,Clear,clear sky,1018,1018
0,118.7723,21.6601,1614666659,1614637515,1614679758,293.86,288.49,1017,88,,,{'all': 100},10000,12.07,23,,,293.86,293.86,Clouds,overcast clouds,1017,1017
0,104.9073,24.0616,1614666661,1614640923,1614683004,289.21,287.3,1016,60,,,{'all': 86},10000,2.16,165,CN,,289.21,289.21,Clouds,overcast clouds,866,1016
0,108.3735,24.0616,1614666662,1614640092,1614682172,291.93,288.82,1019,46,,,{'all': 1},10000,3.42,58,CN,,291.93,291.93,Clear,clear sky,1000,1019
0,111.8398,24.0616,1614666663,1614639261,1614681339,293.38,291.93,1019,44,,,{'all': 0},10000,1.26,3,CN,,293.38,293.38,Clear,clear sky,980,1019
