date,pressure,temp_max,temp_mean,temp_min,dew_mean,humidity,insolation,wind_dir,wind_speed,rain
2017-01-01,1021.8,22.4,18.7,16.2,15.5,82,4.7,NNE,7,0
2017-01-02,1020.5,25.1,19.6,16.4,16.3,82,9,NNE,5,0
2017-01-03,1019.7,23.6,19.2,17,16.8,86,9.2,ESE,7,0
2017-01-04,1018.7,23.7,19.6,17.9,16.5,83,7.6,E,8,0
2017-01-05,1017,23.9,20.4,18,16.9,81,1.2,NNE,6,0
2017-01-06,1015.2,26.7,21.2,17.8,17.9,82,5.6,SE,7,0
2017-01-07,1013.9,23.2,20.1,18.9,17.5,86,2.6,ESE,9,0
2017-01-08,1013.6,26.8,22,18.7,17.7,77,8.1,NNE,6,0
2017-01-09,1016.3,22.5,19.2,17,15.4,79,0.3,N,10,0
2017-01-10,1017.9,21.5,19.1,18.1,15.6,80,5.4,E,12,0
2017-01-11,1018,20.2,18.7,17.8,15.4,81,0,NE,9,VST
2017-01-12,1015.9,19,16.9,13.2,14.1,84,0,N,11,VST
2017-01-13,1016.4,13.8,12.9,12,11.1,89,0,N,14,0.4
2017-01-14,1018.3,13.7,12.9,12.1,12.1,95,0,N,15,2.4
2017-01-15,1020.8,14.4,13.3,12.7,12,92,0,N,15,0.2
2017-01-16,1020.6,15.3,13.4,11.9,12.3,93,0,NNE,13,1.8
2017-01-17,1021.1,19.2,16.4,14.4,13.7,84,0,NNE,9,0
2017-01-18,1021.3,19.8,17.5,15.4,15.3,87,0,NNE,9,VST
2017-01-19,1020.4,24.6,19.2,16.9,16.7,86,3.1,NNE,8,0.2
2017-01-20,1022.8,20.4,16.6,13.9,11,70,7.4,N,15,0
2017-01-21,1025.5,19.9,15.5,12.1,8.2,62,7.8,N,15,0
2017-01-22,1026.3,19.7,15.4,12,6.3,55,9.4,N/NNE,11,0
2017-01-23,1025.6,20.5,15.7,12.2,9.5,68,8.5,N / E,9,0
2017-01-24,1025.2,20.6,16.9,15,12,73,3.6,E,11,0
2017-01-25,1025.6,22.6,17.7,15.4,13.1,75,9.6,NNE,10,0
2017-01-26,1024.4,20.9,16.8,15.1,11.9,74,8.3,NNE,10,0
2017-01-27,1022.7,22.2,17.2,13.5,10.9,68,9.7,NNE,10,0
2017-01-28,1018.5,20.8,16.9,14.4,13.6,81,2.5,E,6,0.2
2017-01-29,1016.6,21.3,18.1,16.8,17,93,0.3,NNE,6,5.4
2017-01-30,1018.2,25,19.5,16.5,17.9,91,0.9,N,9,2.8
2017-01-31,1020.2,18,15.8,14.4,14.1,90,0.1,NNE,12,2
2017-02-01,1021.4,23.5,18,14.8,13.9,78,6.7,NNE,11,0
2017-02-02,1022.6,17.1,16.3,15.5,14,87,0.5,E,11,VST
2017-02-03,1020.4,20.1,16.7,14.9,12.8,78,0,NNE,12,0
2017-02-04,1016,22.2,17.5,15.7,14.6,84,5.4,E,8,3.2
2017-02-05,1014,24.3,19.4,16.3,16.1,82,8.1,NNE,6,0.2
