date, pm25, pm10, o3, no2, so2, co
2021/3/1, 48, , , , , 
2021/2/1, 39, 43, 89, 13, 1, 4
2021/2/2, 70, 46, 45, 7, 1, 4
2021/2/3, 66, 45, 43, 11, 1, 4
2021/2/4, 63, 36, 35, 9, 1, 4
2021/2/5, 54, 36, 39, 18, 1, 4
2021/2/6, 63, 35, 44, 12, 1, 4
2021/2/7, 70, 32, 42, 8, 1, 5
2021/2/8, 66, 41, 44, 6, 1, 4
2021/2/9, 65, 15, 28, 7, 1, 5
2021/2/10, 32, 9, 24, 6, 1, 5
2021/2/11, 15, 17, 32, 8, 1, 4
2021/2/12, 41, 22, 31, 9, 1, 4
2021/2/13, 56, 20, 42, 6, 1, 4
2021/2/14, 43, 30, 45, 9, 2, 5
2021/2/15, 73, 29, 40, 8, 1, 4
2021/2/16, 63, 24, 38, 7, 1, 6
2021/2/17, 53, 39, 42, 8, 1, 5
2021/2/18, 71, 39, 46, 7, 1, 4
2021/2/19, 58, 35, 59, 9, 1, 5
2021/2/20, 62, 36, 54, 6, 1, 5
2021/2/21, 73, 28, 41, 7, 1, 4
2021/2/22, 62, 30, 44, 9, 1, 4
2021/2/23, 70, 33, 38, 5, 1, 4
2021/2/24, 60, , , , , 
2021/1/4, 83, 70, 49, 37, 4, 6
2021/1/5, 125, 52, 38, 21, 2, 4
2021/1/6, 94, 60, 22, 18, 2, 6
2021/1/7, 118, 43, 16, 13, 1, 4
2021/1/8, 79, 31, 17, 16, 2, 3
2021/1/9, 44, 43, 18, 21, 3, 3
2021/1/10, 59, 27, 17, 17, 3, 3
2021/1/11, 64, 49, 25, 21, 3, 4
2021/1/12, 78, 54, 39, 27, 3, 4
2021/1/13, 81, 58, 51, 34, 3, 5
2021/1/14, 94, 50, 39, 35, 3, 5
2021/1/15, 82, 44, 37, 24, 2, 5
2021/1/16, 73, 82, 49, 14, 3, 6
2021/1/17, 123, 75, 39, 21, 3, 5
2021/1/18, 101, 57, 37, 22, 2, 5
2021/1/19, 80, 45, 28, 22, 1, 4
2021/1/20, 61, 55, 43, 28, 2, 5
2021/1/21, 96, 53, 22, 28, 2, 6
2021/1/22, 110, 46, 88, 18, 1, 3
2021/1/23, 95, 43, 40, 13, 1, 3
2021/1/24, 86, 36, 46, 12, 1, 3
2021/1/25, 67, 50, 85, 20, 1, 4
2021/1/26, 99, 45, 44, 13, 1, 5
2021/1/27, 93, 49, 48, 16, 1, 7
2021/1/28, 95, 35, 49, 12, 1, 6
2021/1/29, 49, 56, 43, 9, 1, 4
2021/1/30, 69, 32, 38, 12, 1, 3
2021/1/31, 40, 31, 32, 13, 1, 3
2020/10/1, 43, 28, 46, 4, , 4
2020/10/2, 57, 29, 43, 4, , 4
2020/10/3, 59, 28, 54, 5, 1, 5
2020/10/4, 64, 28, 40, 6, 1, 5
2020/10/5, 58, 37, 46, 9, 1, 7
2020/10/6, 63, 32, 34, 9, 1, 6
2020/10/7, 53, 36, 45, 9, 1, 6
2020/10/8, 56, 49, 67, 12, 1, 7
2020/10/9, 78, 55, 101, 14, 1, 7
